Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScheduleEbay,Chrome 67.0.3396.99,,2018-07-11 14:41:14,2018-07-11 14:42:20,"1m - 6,254s",PASSED
,,,,,,
Test Cases/ebayExercise,Chrome 67.0.3396.99,,2018-07-11 14:41:14,2018-07-11 14:41:38,"23,848s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 14:41:15,2018-07-11 14:41:24,"9,572s",PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 14:41:24,2018-07-11 14:41:25,"1,152s",PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-11 14:41:25,2018-07-11 14:41:26,"0,595s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:41:26,2018-07-11 14:41:26,"0,132s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:41:26,2018-07-11 14:41:30,"4,268s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 14:41:30,2018-07-11 14:41:30,"0,042s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:41:30,2018-07-11 14:41:32,"1,564s",PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:41:32,2018-07-11 14:41:34,"2,019s",PASSED
Statement - resultados = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Catalogo/lblResultado)),Chrome 67.0.3396.99,,2018-07-11 14:41:34,2018-07-11 14:41:34,"0,046s",PASSED
"Statement - println(""Nro. resultados => "" + resultados)",Chrome 67.0.3396.99,,2018-07-11 14:41:34,2018-07-11 14:41:34,"0,002s",PASSED
scrollToElement,Chrome 67.0.3396.99,,2018-07-11 14:41:34,2018-07-11 14:41:34,"0,041s",PASSED
verifyElementClickable,Chrome 67.0.3396.99,,2018-07-11 14:41:34,2018-07-11 14:41:34,"0,047s",PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 14:41:34,2018-07-11 14:41:34,"0,082s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:41:34,2018-07-11 14:41:36,"1,985s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,027s",PASSED
Statement - obtenerListaProductos(5),Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,000s",PASSED
Statement - listaProductos = [],Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,000s",PASSED
"Statement - producto = """"",Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,000s",PASSED
"Statement - precio = """"",Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,000s",PASSED
"Statement - envio = """"",Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,000s",PASSED
"Statement - productos = """"",Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:36,"0,000s",PASSED
"Statement - For ([i = 1, i <= cantidad, (i++)])",Chrome 67.0.3396.99,,2018-07-11 14:41:36,2018-07-11 14:41:37,"1,185s",PASSED
"Statement - listaProductos.eachWithIndex({ java.lang.Object val, java.lang.Object idx -> ... })",Chrome 67.0.3396.99,,2018-07-11 14:41:37,2018-07-11 14:41:37,"0,009s",PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-11 14:41:37,2018-07-11 14:41:38,"0,777s",PASSED
,,,,,,
Test Cases/ebayExercise,Chrome 67.0.3396.99,,2018-07-11 14:41:38,2018-07-11 14:42:02,"24,244s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 14:41:38,2018-07-11 14:41:46,"8,175s",PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 14:41:46,2018-07-11 14:41:47,"1,130s",PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-11 14:41:47,2018-07-11 14:41:48,"0,511s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:41:48,2018-07-11 14:41:48,"0,108s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:41:48,2018-07-11 14:41:56,"7,495s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 14:41:56,2018-07-11 14:41:56,"0,009s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:41:56,2018-07-11 14:41:57,"1,367s",PASSED
delay,Chrome 67.0.3396.99,,2018-07-11 14:41:57,2018-07-11 14:41:59,"2,002s",PASSED
Statement - resultados = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Catalogo/lblResultado)),Chrome 67.0.3396.99,,2018-07-11 14:41:59,2018-07-11 14:41:59,"0,094s",PASSED
"Statement - println(""Nro. resultados => "" + resultados)",Chrome 67.0.3396.99,,2018-07-11 14:41:59,2018-07-11 14:41:59,"0,000s",PASSED
scrollToElement,Chrome 67.0.3396.99,,2018-07-11 14:41:59,2018-07-11 14:41:59,"0,030s",PASSED
verifyElementClickable,Chrome 67.0.3396.99,,2018-07-11 14:41:59,2018-07-11 14:41:59,"0,049s",PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 14:41:59,2018-07-11 14:41:59,"0,048s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:41:59,2018-07-11 14:42:01,"1,623s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,030s",PASSED
Statement - obtenerListaProductos(5),Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,000s",PASSED
Statement - listaProductos = [],Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,000s",PASSED
"Statement - producto = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,000s",PASSED
"Statement - precio = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,000s",PASSED
"Statement - envio = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,001s",PASSED
"Statement - productos = """"",Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:01,"0,000s",PASSED
"Statement - For ([i = 1, i <= cantidad, (i++)])",Chrome 67.0.3396.99,,2018-07-11 14:42:01,2018-07-11 14:42:02,"0,918s",PASSED
"Statement - listaProductos.eachWithIndex({ java.lang.Object val, java.lang.Object idx -> ... })",Chrome 67.0.3396.99,,2018-07-11 14:42:02,2018-07-11 14:42:02,"0,001s",PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-11 14:42:02,2018-07-11 14:42:02,"0,624s",PASSED
,,,,,,
Test Cases/ebayExercise,Chrome 67.0.3396.99,,2018-07-11 14:42:02,2018-07-11 14:42:20,"17,904s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 14:42:02,2018-07-11 14:42:07,"4,841s",PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 14:42:07,2018-07-11 14:42:08,"1,134s",PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-11 14:42:08,2018-07-11 14:42:09,"0,438s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 14:42:09,2018-07-11 14:42:09,"0,112s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:42:09,2018-07-11 14:42:13,"3,941s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-11 14:42:13,2018-07-11 14:42:13,"0,011s",PASSED
click,Chrome 67.0.3396.99,,2018-07-11 14:42:13,2018-07-11 14:42:14,"1,423s",PASSED
